spillover_fraction,initial_trust,final_trust,participation_rate
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.3,0.3,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.6,0.6,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.0,0.9,0.9000000000000005,1.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.3,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.6,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
0.5,0.9,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.3,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.6,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
1.0,0.9,0.0,0.0
